judge_model,prompt_template,answer_source,judge_score,human_score,score_delta,percent_agreement,scotts_pi,precision,recall,f1,tp,fp,tn,fn,fpr,fnr,invalid_rate,valid_rate,avg_latency_ms,p50_latency_ms,p95_latency_ms,total_estimated_cost
gpt_5_4_mini,minimal,chatgpt,0.7944664031620553,0.7905138339920948,0.0039525691699604515,0.924901185770751,0.7716660729129556,0.9502487562189055,0.955,0.9526184538653366,191,10,43,9,0.18867924528301888,0.045,0.0,1.0,1032.5256916996047,922.0,1353.6,0.06976725
gpt_5_4_mini,minimal,fid,0.7436974789915967,0.7478991596638656,-0.004201680672268893,0.9453781512605042,0.8559422651612152,0.9661016949152542,0.9606741573033708,0.9633802816901408,171,6,54,7,0.1,0.03932584269662921,0.0,1.0,964.109243697479,909.0,1346.3999999999996,0.062069250000000006
gpt_5_4_mini,minimal,gpt35,0.7596899224806202,0.7286821705426356,0.03100775193798455,0.9457364341085271,0.8574810606060607,0.9438775510204082,0.9840425531914894,0.9635416666666666,185,11,59,3,0.15714285714285714,0.015957446808510637,0.0,1.0,1076.0542635658915,920.5,1376.3,0.07246125
gpt_5_4_mini,minimal,gpt4,0.8518518518518519,0.8564814814814815,-0.00462962962962965,0.9583333333333334,0.8327526132404183,0.9782608695652174,0.972972972972973,0.975609756097561,180,4,27,5,0.12903225806451613,0.02702702702702703,0.0,1.0,956.6064814814815,908.5,1249.25,0.059518499999999995
gpt_5_4_mini,minimal,newbing,0.8425531914893617,0.8297872340425532,0.012765957446808529,0.8936170212765957,0.6117114437725121,0.9292929292929293,0.9435897435897436,0.9363867684478372,184,14,26,11,0.35,0.05641025641025641,0.0,1.0,1024.4297872340426,914.0,1464.0999999999995,0.07200825
gpt_5_4_nano,minimal,chatgpt,0.7707509881422925,0.7905138339920948,-0.01976284584980237,0.8853754940711462,0.6653210172197512,0.9384615384615385,0.915,0.9265822784810127,183,12,41,17,0.22641509433962265,0.085,0.0,1.0,1092.399209486166,1016.0,1568.4,0.02013775
gpt_5_4_nano,minimal,fid,0.7647058823529411,0.7478991596638656,0.01680672268907557,0.8739495798319328,0.6580459770114943,0.9065934065934066,0.9269662921348315,0.9166666666666666,165,17,43,13,0.2833333333333333,0.07303370786516854,0.0,1.0,1096.7983193277312,1005.0,1564.6499999999996,0.01776215
gpt_5_4_nano,minimal,gpt35,0.7209302325581395,0.7286821705426356,-0.007751937984496138,0.9147286821705426,0.7862468931234465,0.946236559139785,0.9361702127659575,0.9411764705882354,176,10,60,12,0.14285714285714285,0.06382978723404255,0.0,1.0,1180.2674418604652,1044.5,2013.0499999999997,0.02081475
gpt_5_4_nano,minimal,gpt4,0.8379629629629629,0.8564814814814815,-0.0185185185185186,0.9537037037037037,0.8211624441132638,0.9834254143646409,0.9621621621621622,0.9726775956284153,178,3,28,7,0.0967741935483871,0.03783783783783784,0.0,1.0,1087.3935185185185,1000.5,1498.25,0.0171079
gpt_5_4_nano,minimal,newbing,0.8382978723404255,0.8297872340425532,0.008510638297872353,0.8978723404255319,0.6310832025117737,0.934010152284264,0.9435897435897436,0.9387755102040817,184,13,27,11,0.325,0.05641025641025641,0.0,1.0,1143.8553191489361,1063.0,1621.1999999999996,0.02131525
